charter_flights,prev_charter_flights,charter_percent_change_flights,charter_difference_change_flights,commuter_flights,prev_commuter_flights,commuter_percent_change_flights,commuter_difference_change_flights,jet_flights,prev_jet_flights,jet_percent_change_flights,jet_difference_change_flights,total_flights,prev_total_flights,total_percent_change_flights,total_difference_change_flights,charter_passengers,prev_charter_passengers,charter_percent_change_passengers,charter_difference_change_passengers,commuter_passengers,prev_commuter_passengers,commuter_percent_change_passengers,commuter_difference_change_passengers,jet_passengers,prev_jet_passengers,jet_percent_change_passengers,jet_difference_change_passengers,total_passengers,prev_total_passengers,total_percent_change_passengers,total_difference_change_passengers,year,month,prev_year
46,44,4.50%,2,"5,136","4,622",11.10%,514,"19,535","19,342",1.00%,193,"24,717","24,008",3.00%,709,"1,902","1,437",32.40%,465,"137,321","114,467",20.00%,"22,854","2,043,633","1,985,710",2.90%,"57,923","2,182,856","2,101,614",3.90%,"81,242",19,1,18
49,55,-10.90%,-6,"4,678","4,626",1.10%,52,"18,737","18,634",0.60%,103,"23,464","23,315",0.60%,149,"2,129","3,343",-36.30%,"-1,214","141,433","131,494",7.60%,"9,939","2,106,221","2,040,473",3.20%,"65,748","2,249,783","2,175,310",3.40%,"74,473",19,2,18
42,65,-35.40%,-23,"5,984","4,959",20.70%,"1,025","21,805","20,279",7.50%,"1,526","27,831","25,303",10.00%,"2,528","1,016","2,018",-49.70%,"-1,002","215,487","162,094",32.90%,"53,393","2,601,645","2,446,720",6.30%,"154,925","2,818,148","2,610,832",7.90%,"207,316",19,3,18
32,58,-44.80%,-26,"6,029","5,490",9.80%,539,"22,474","22,863",-1.70%,-389,"28,535","28,411",0.40%,124,874,"1,888",-53.70%,"-1,014","230,212","175,384",31.30%,"54,828","2,699,361","2,709,177",-0.40%,"-9,816","2,930,447","2,886,449",1.50%,"43,998",19,4,18
34,60,-43.30%,-26,"6,864","6,457",6.30%,407,"23,019","23,817",-3.40%,-798,"29,917","30,334",-1.40%,-417,888,"2,288",-61.20%,"-1,400","234,105","183,165",27.80%,"50,940","2,857,426","2,835,942",0.80%,"21,484","3,092,419","3,021,395",2.40%,"71,024",19,5,18
22,29,-24.10%,-7,"7,505","7,421",1.10%,84,"22,206","23,427",-5.20%,"-1,221","29,733","30,877",-3.70%,"-1,144",626,759,-17.50%,-133,"241,280","212,771",13.40%,"28,509","2,846,383","2,876,666",-1.10%,"-30,283","3,088,289","3,090,196",-0.10%,"-1,907",19,6,18
21,14,50.00%,7,"7,677","7,861",-2.30%,-184,"22,831","23,596",-3.20%,-765,"30,529","31,471",-3.00%,-942,614,422,45.50%,192,"229,977","215,387",6.80%,"14,590","2,939,949","2,975,522",-1.20%,"-35,573","3,170,540","3,191,331",-0.70%,"-20,791",19,7,18
12,33,-63.60%,-21,"8,360","8,146",2.60%,214,"23,575","23,975",-1.70%,-400,"31,947","32,154",-0.60%,-207,402,711,-43.50%,-309,"255,074","217,156",17.50%,"37,918","2,956,456","2,994,352",-1.30%,"-37,896","3,211,932","3,212,219",0.00%,-287,19,8,18
29,38,-23.70%,-9,"7,535","7,272",3.60%,263,"22,150","21,944",0.90%,206,"29,714","29,254",1.60%,460,889,954,-6.80%,-65,"208,789","189,288",10.30%,"19,501","2,602,047","2,496,114",4.20%,"105,933","2,811,725","2,686,356",4.70%,"125,369",19,9,18
34,51,-33.30%,-17,"7,544","6,822",10.60%,722,"23,496","23,261",1.00%,235,"31,074","30,134",3.10%,940,736,"2,220",-66.80%,"-1,484","260,873","219,023",19.10%,"41,850","2,813,882","2,791,955",0.80%,"21,927","3,075,491","3,013,198",2.10%,"62,293",19,10,18
39,35,11.40%,4,"6,558","5,723",14.60%,835,"21,848","21,673",0.80%,175,"28,445","27,431",3.70%,"1,014",891,"1,615",-44.80%,-724,"226,702","185,124",22.50%,"41,578","2,477,618","2,560,819",-3.20%,"-83,201","2,705,211","2,747,558",-1.50%,"-42,347",19,11,18
57,44,29.50%,13,"6,294","5,789",8.70%,505,"21,521","20,880",3.10%,641,"27,872","26,713",4.30%,"1,159","1,510","1,133",33.30%,377,"221,847","179,466",23.60%,"42,381","2,538,590","2,328,823",9.00%,"209,767","2,761,947","2,509,422",10.10%,"252,525",19,12,18
